clip_id,filename,duration_s,resolution,fps,codec,pix_fmt,file_size_mb,short_lt_5s,long_gt_15s,below_vjepa2_min,portrait
IMG_1138_w2,IMG_1138_w2.mov,9.232,2160x3840,59.97,h264,yuvj420p,44.2,FALSE,FALSE,FALSE,TRUE
IMG_1138_w3,IMG_1138_w3.mov,9.232,2160x3840,59.97,h264,yuvj420p,45.9,FALSE,FALSE,FALSE,TRUE
IMG_1039_w1,IMG_1039_w1.mov,9.277,1080x1920,59.97,h264,yuvj420p,18.6,FALSE,FALSE,FALSE,TRUE
IMG_1039_w2,IMG_1039_w2.mov,9.277,1080x1920,59.97,h264,yuvj420p,18.8,FALSE,FALSE,FALSE,TRUE
IMG_1039_w3,IMG_1039_w3.mov,9.277,1080x1920,59.97,h264,yuvj420p,18.4,FALSE,FALSE,FALSE,TRUE
IMG_1153_w1,IMG_1153_w1.mov,9.338,2160x3840,59.97,h264,yuvj420p,43.5,FALSE,FALSE,FALSE,TRUE
IMG_1153_w2,IMG_1153_w2.mov,9.338,2160x3840,59.97,h264,yuvj420p,45.4,FALSE,FALSE,FALSE,TRUE
IMG_1153_w3,IMG_1153_w3.mov,9.338,2160x3840,59.97,h264,yuvj420p,44.5,FALSE,FALSE,FALSE,TRUE
IMG_1151_w1,IMG_1151_w1.mov,9.471,2160x3840,59.97,h264,yuvj420p,44.2,FALSE,FALSE,FALSE,TRUE
IMG_1151_w2,IMG_1151_w2.mov,9.471,2160x3840,59.97,h264,yuvj420p,46.8,FALSE,FALSE,FALSE,TRUE
IMG_1151_w3,IMG_1151_w3.mov,9.471,2160x3840,59.97,h264,yuvj420p,46.7,FALSE,FALSE,FALSE,TRUE
IMG_1052_w1,IMG_1052_w1.mov,9.627,1080x1920,59.97,h264,yuvj420p,19.4,FALSE,FALSE,FALSE,TRUE
IMG_1052_w2,IMG_1052_w2.mov,9.627,1080x1920,59.97,h264,yuvj420p,19.4,FALSE,FALSE,FALSE,TRUE
IMG_1052_w3,IMG_1052_w3.mov,9.627,1080x1920,59.97,h264,yuvj420p,19.6,FALSE,FALSE,FALSE,TRUE
IMG_1119_w1,IMG_1119_w1.mov,9.627,2160x3840,59.97,h264,yuvj420p,45.2,FALSE,FALSE,FALSE,TRUE
IMG_1119_w2,IMG_1119_w2.mov,9.627,2160x3840,59.97,h264,yuvj420p,45.8,FALSE,FALSE,FALSE,TRUE
IMG_1119_w3,IMG_1119_w3.mov,9.627,2160x3840,59.97,h264,yuvj420p,46.3,FALSE,FALSE,FALSE,TRUE
IMG_1048_w1,IMG_1048_w1.mov,10.111,1080x1920,59.97,h264,yuvj420p,20.4,FALSE,FALSE,FALSE,TRUE
IMG_1048_w2,IMG_1048_w2.mov,10.111,1080x1920,59.97,h264,yuvj420p,20.3,FALSE,FALSE,FALSE,TRUE
IMG_1048_w3,IMG_1048_w3.mov,10.111,1080x1920,59.97,h264,yuvj420p,20.2,FALSE,FALSE,FALSE,TRUE
IMG_1082_w1,IMG_1082_w1.mov,10.188,2160x3840,59.97,h264,yuvj420p,47.5,FALSE,FALSE,FALSE,TRUE
